grid;average_efficiencies;std_efficiencies;average_n_moves;std_n_moves;average_cleaned;std_cleaned;randomness_move;drain_prob;drain;vision
example-random-level.grid;100.0;0.0;9.47;3.0608985608804486;3.2101694915254226;1.0375927325018468;0;1;10;1
example-random-level.grid;100.0;0.0;10.2;3.2588341473600653;3.457627118644068;1.104689541477988;0;1;10;5
example-random-level.grid;56.63350270365387;22.108963834578272;778.4;794.5005601004948;100.0;0.0;0;0;0;1
example-random-level.grid;59.44618943385195;20.069228504204695;617.72;418.0401435269105;100.0;0.0;0;0;10;5
example-random-level.grid;98.76353964906433;0.6805311011559327;10.16;3.084542105402356;2.0271186440677953;0.865542623631995;1;1;10;1
example-random-level.grid;59.48727402072439;21.889402373330473;687.32;644.7971910608793;100.0;0.0;0;1;0;5
example-random-level.grid;55.676089350221325;23.784380586745986;773.02;672.9633865226251;100.0;0.0;0;0;0;5
example-random-level.grid;56.631193584097794;23.476041244199106;897.1;1268.4727312796283;100.0;0.0;0;0;10;1
example-random-level.grid;57.31226318878307;24.839834848254437;910.88;1227.0595036916507;100.0;0.0;0;1;0;1
