grid;average_efficiencies;std_efficiencies;average_n_moves;std_n_moves;average_cleaned;std_cleaned;randomness_move;gamma
example-2x2-house-0.grid;96.90476190476188;8.426687978962113;3.38;0.7717512552629895;100.0;0.0;0.25;0.6; 
example-2x2-house-0.grid;92.58571428571427;14.077088540202745;3.8;1.3114877048604001;100.0;0.0;0.5;0.2; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.8; 
example-2x2-house-0.grid;91.68095238095239;14.934645482116167;3.98;1.4489996549343964;100.0;0.0;0.5;0.1; 
example-2x2-house-0.grid;90.53333333333332;15.721827915858668;4.01;1.3674428690076965;100.0;0.0;0.5;0.4; 
example-2x2-house-0.grid;87.4096681096681;17.064911575573998;4.29;1.5639373388982052;100.0;0.0;0.5;0.3; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.7; 
example-2x2-house-0.grid;95.84285714285711;10.667061004615585;3.5;1.02469507659596;100.0;0.0;0.25;0.8; 
example-2x2-house-0.grid;92.8857142857143;12.550816435486533;3.78;1.1097747519204066;100.0;0.0;0.5;0.6; 
example-2x2-house-0.grid;81.91774891774892;20.497730662826886;4.95;2.0316249653910043;100.0;0.0;0.75;0; 
example-2x2-house-0.grid;96.8;8.191052028484089;3.4;0.7745966692414834;100.0;0.0;0.25;0.7; 
example-2x2-house-0.grid;90.85531135531136;16.294686729175876;3.99;1.7233397807745285;100.0;0.0;0.5;0.5; 
example-2x2-house-0.grid;84.7015873015873;19.250045793154587;4.63;1.7530259553126986;100.0;0.0;0.75;0.2; 
example-2x2-house-0.grid;79.39603174603172;20.889132817483475;5.17;2.2762029786466758;100.0;0.0;0.75;0.1; 
example-2x2-house-0.grid;91.23650793650792;15.496540060357914;3.98;1.5683111936092273;100.0;0.0;0.5;0.8; 
example-2x2-house-0.grid;88.33665223665223;17.37422801786187;4.19;1.6473918780909416;100.0;0.0;0.5;0.7; 
example-2x2-house-0.grid;80.79831279831282;21.740695438731247;5.04;2.275609808381042;100.0;0.0;0.75;0.3; 
example-2x2-house-0.grid;84.2564935064935;19.885075200479267;4.68;2.1254646550813305;100.0;0.0;0.75;0.4; 
example-2x2-house-0.grid;85.59379509379511;18.28101406267609;4.52;1.6761861471805573;100.0;0.0;0.75;0.5; 
example-2x2-house-0.grid;81.00649350649348;22.148752105191384;5.08;2.3007824755939015;100.0;0.0;0.75;0.6; 
example-2x2-house-0.grid;100.0;0.0;3.0;0.0;100.0;0.0;0;0.9; 
example-2x2-house-0.grid;97.1142857142857;8.875510907973185;3.36;0.8662563131083085;100.0;0.0;0.25;0.9; 
